,formula,Temperature,target
613,Ca1I2,500.0,81.17
614,Ca1I2,400.0,79.161
615,Ca1I2,300.0,77.195
616,Ca1I2,298.0,77.157
617,Al1F6Li3,298.0,202.506
618,Al1F6Li3,1500.0,357.732
619,Al1F6Li3,1400.0,347.272
620,Al1F6Li3,1300.0,336.81199999999995
621,Al1F6Li3,1200.0,326.35200000000003
622,Al1F6Li3,1100.0,315.892
623,Al1F6Li3,1058.0,311.499
624,Al1F6Li3,1000.0,305.432
625,Al1F6Li3,978.0,303.131
626,Al1F6Li3,978.0,303.131
627,Al1F6Li3,900.0,294.972
628,Al1F6Li3,848.0,289.533
629,Al1F6Li3,848.0,289.533
630,Al1F6Li3,800.0,284.512
631,Al1F6Li3,748.0,279.073
632,Al1F6Li3,748.0,279.073
633,Al1F6Li3,700.0,274.052
634,Al1F6Li3,600.0,262.295
635,Al1F6Li3,500.0,248.111
636,Al1F6Li3,400.0,229.86900000000003
637,Al1F6Li3,300.0,203.133
638,Br4Mo1,900.0,144.4
639,Br4Mo1,800.0,142.674
640,Br4Mo1,700.0,140.844
641,Br4Mo1,600.0,138.909
642,Br4Mo1,500.0,136.817
643,Br4Mo1,400.0,135.143
644,Br4Mo1,300.0,133.093
645,Br4Mo1,298.0,133.05100000000002
646,Ba1,298.0,28.096
647,Ba1,1400.0,39.066
648,Ba1,1300.0,39.066
649,Ba1,1200.0,39.066
650,Ba1,1100.0,39.066
651,Ba1,1000.0,39.066
652,Ba1,1000.0,39.066
653,Ba1,900.0,39.066
654,Ba1,800.0,39.066
655,Ba1,768.13,48.103
656,Ba1,768.13,39.066
657,Ba1,700.0,42.363
658,Ba1,600.0,33.941
659,Ba1,582.53,54.4
660,Ba1,582.53,32.468
661,Ba1,500.0,43.744
662,Ba1,450.0,38.031
663,Ba1,400.0,33.229
664,Ba1,350.0,29.898000000000003
665,Ba1,300.0,28.142
666,Br4Ti1,1400.0,133.779
667,Br4Ti1,1300.0,133.779
668,Br4Ti1,1200.0,133.779
669,Br4Ti1,1100.0,133.779
670,Br4Ti1,1000.0,133.779
671,Br4Ti1,900.0,133.779
672,Br4Ti1,800.0,133.779
673,Br4Ti1,700.0,133.779
674,Br4Ti1,600.0,133.779
675,Br4Ti1,500.0,133.779
676,Br4Ti1,400.0,133.779
677,Br4Ti1,311.4,133.779
678,Br4Ti1,300.0,131.815
679,Br4Ti1,298.0,131.503
680,Ba1Br2,298.0,77.015
681,Ba1Br2,1400.0,100.839
682,Ba1Br2,1300.0,98.675
683,Ba1Br2,1200.0,96.512
684,Ba1Br2,1130.0,95.002
685,Ba1Br2,1100.0,94.353
686,Ba1Br2,1000.0,92.19
687,Ba1Br2,900.0,90.027
688,Ba1Br2,800.0,87.86399999999999
689,Ba1Br2,700.0,85.70100000000001
690,Ba1Br2,600.0,83.542
691,Ba1Br2,500.0,81.37899999999999
692,Ba1Br2,400.0,79.21600000000001
693,Ba1Br2,300.0,77.053
694,Be1O4S1,298.0,85.697
695,Be1O4S1,2200.0,200.832
696,Be1O4S1,2100.0,200.832
697,Be1O4S1,2000.0,200.832
698,Be1O4S1,1900.0,200.832
699,Be1O4S1,1800.0,200.832
700,Be1O4S1,1700.0,200.706
701,Be1O4S1,1600.0,200.004
702,Be1O4S1,1500.0,198.656
703,Be1O4S1,1400.0,196.581
704,Be1O4S1,1300.0,193.543
705,Be1O4S1,1200.0,189.209
706,Be1O4S1,1100.0,183.088
707,Be1O4S1,1000.0,174.43099999999998
708,Be1O4S1,900.0,162.046
709,Be1O4S1,800.0,149.787
710,Be1O4S1,700.0,137.988
711,Be1O4S1,600.0,126.817
712,Be1O4S1,500.0,116.357
713,Be1O4S1,400.0,103.88
714,Be1O4S1,300.0,86.111
715,Ba1F2,298.0,72.204
716,Ba1F2,1900.0,107.654
717,Ba1F2,1800.0,107.654
718,Ba1F2,1700.0,107.654
719,Ba1F2,1641.0,107.654
720,Ba1F2,1600.0,107.654
721,Ba1F2,1500.0,107.654
722,Ba1F2,1480.0,107.104
723,Ba1F2,1480.0,107.654
724,Ba1F2,1400.0,114.014
725,Ba1F2,1300.0,137.654
726,Ba1F2,1240.0,194.914
727,Ba1F2,1240.0,194.713
728,Ba1F2,1200.0,130.541
729,Ba1F2,1100.0,104.182
730,Ba1F2,1000.0,94.558
731,Ba1F2,900.0,88.70100000000001
732,Ba1F2,800.0,84.935
733,Ba1F2,700.0,82.383
734,Ba1F2,600.0,80.333
735,Ba1F2,500.0,78.45
736,Ba1F2,400.0,75.94
737,Ba1F2,300.0,72.304
738,Ba1I2,298.0,77.488
739,Ba1I2,2700.0,112.968
740,Ba1I2,2600.0,112.968
741,Ba1I2,2500.0,112.968
742,Ba1I2,2400.0,112.968
743,Ba1I2,2300.0,112.968
744,Ba1I2,2200.0,112.968
745,Ba1I2,2100.0,112.968
746,Ba1I2,2000.0,112.968
747,Ba1I2,1900.0,112.968
748,Ba1I2,1800.0,112.968
749,Ba1I2,1700.0,112.968
